Стефанија,Стефанія,1,258,12.04.1804,13.04.1804,кћи,грчко,изведено/феминитив,слава,венац/венчана
Мирјана,Миря́на,1,258,,,мати,српско,сложено/изведено,слава,< мир+Јана (или хебр. < Мирјам)
Марта,Марта,1,259,14.04.1804,15.04.1804,кћи,јеврејско,посвојено,слава,госпођа
Босанка,Босанка,1,259,,,мати,српско,сложено,описни придев,< боса + анка (или „из Босне“)
Анђа,А҆́нћа,1,260,,,мати,грчко,посвојено/деминутив,слава,анђео
Вемија,Вемія,1,261,17.04.1804,20.04.1804,кћи,грчко,изведено,оптатив,о којој се говори
Марта,Марта,1,261,,,мати,јеврејско,посвојено,слава,госпођа
Деспа,Де́спа,1,262,19.04.1804,22.04.1804,кћи,грчко,посвојено/феминитив/деминутив,слава,газдарица/госпођа
Агатија,А҆́гатія,1,262,,,мати,грчко,изведено,описни придев,добра/блага
Агатија,А҆́гатія,1,263,21.04.1804,23.04.1804,кћи,грчко,изведено,описни придев,добра/блага
Мара,Марра,1,263,,,мати,јеврејско,посвојено/деминутив,слава,< Марија
Ката,Катта,1,264,22.04.1804,25.04.1804,кћи,грчко,деминутив,слава,чиста?
Рокса,Роѯа,1,264,,,мати,грчко,деминутив,оптатив,источно име (жена Александра Великог)
Персида,Перси́да,1,265,27.04.1804,29.04.1804,кћи,грчко,етноним,описни придев,персијанка
Петра,Петра,1,265,,,мати,грчко,феминитив,оптатив,стена
Марта,Марта,1,266,,,мати,јеврејско,посвојено,слава,госпођа
Латинка,Латинка́,1,267,,,мати,латинско,феминитив,етноним,латинка
Јелена,Е҆лена́,1,268,,,мати,грчко,изведено,слава,топлота сунчеве светлости
Иконија,И҆конія,1,275,,,мати,грчко,изведено,слава,< Икона (слика)
Ђервасија,Ћервасія,1,275,26.05.1804,28.05.1804,кћи,немачко,сложено,слава,копљеносица
Марија,Маріа,1,276,,,мати,јеврејско,библијско,благодарно,милост
Јованка,Іѡ́анка,1,277,,,мати,јеврејско,посвојено/феминитив,благодарно,милост Бога
Алексија,А҆́леѯия,1,278,10.06.1804,12.06.1804,кћи,грчко,изведено/феминитив,профилактичко/слава,заштитница/бранитељка
Пелагија,Пелагія,1,278,,,мати,грчко,изведено,слава,морска
Сара,Са́рра,1,279,,,мати,јеврејско,библијско,слава,кнегиња
Марија,Маріа,1,280,,,мати,јеврејско,библијско,благодарно,милост
Марија,Марїа,1,281,,,мати,јеврејско,библијско,благодарно,милост
Алексија,Алеѯиа,1,282,05.07.1804,07.07.1804,кћи,грчко,изведено/феминитив,профилактичко/слава,заштитница/бранитељка
Марта,Марта,1,282,,,мати,јеврејско,посвојено,слава,госпођа
Наста,Наста,1,283,14.07.1804,16.07.1804,кћи,грчко,посвојено/деминутив,слава,васкрсла
